----------------------------------------------------------------------------
## To change the localised text simply change the name after the single '|'
## Do not change anything in the 'Keys' collumn or the translation will fail
## Do not change / delete any line numbers or add new lines in the file.
----------------------------------------------------------------------------

----------------------------------------------------------------------------
KEYS						Translation
----------------------------------------------------------------------------
MSQ_Quest00					|Une seconde chance
----------------------------------------------------------------------------
Radi_SK_Quest00	|Petite discussion (Iddra)
Radi_SK_Quest01	|Un bandit à tuer
Radi_SK_Quest02	|Un dragon à tuer
Radi_SK_Quest03	|Un géant à tuer
Radi_SK_Quest04	|Un parjure à tuer
Radi_SK_Quest05	|Couper du petit bois (Aeri)
Radi_SK_Quest06	|Couper du petit bois (Grosta)
Radi_SK_Quest07	|Couper du petit bois (Ganna)
Radi_SK_Quest08	|Couper du petit bois (Gilfre)
Radi_SK_Quest09	|Couper du petit bois (Hjorunn)
Radi_SK_Quest10	|Livraison (Aeri)
Radi_SK_Quest11	|Livraison (Sondas)
Radi_SK_Quest12	|La traque du dragon
Radi_SK_Quest13	|Recherches draconiques
Radi_SK_Quest14	|Fouiller le donjon (Roggi)
Radi_SK_Quest16	|Récolte des cultures (Addvild)
Radi_SK_Quest17	|Récolte des cultures (Alfhild)
Radi_SK_Quest18	|Récolte des cultures (Avrusa)
Radi_SK_Quest19	|Récolte des cultures (Belyn)
Radi_SK_Quest20	|Récolte des cultures (Bolfrida)
Radi_SK_Quest21	|Récolte des cultures (Katla)
Radi_SK_Quest22	|Récolte des cultures (Severio)
Radi_SK_Quest23	|Récolte des cultures (Synda)
Radi_SK_Quest24	|Récolte des cultures (Tulvur)
Radi_SK_Quest25	|Récolte des cultures (Vigdis)
Radi_SK_Quest26	|Mort au chef des bandits (Annekke)
Radi_SK_Quest27	|Extraction de minerai (Dushnamub)
Radi_SK_Quest28	|Extraction de minerai (Gestur)
Radi_SK_Quest29	|Extraction de minerai (Gharol)
Radi_SK_Quest30	|Extraction de minerai (Grogmar)
Radi_SK_Quest31	|Extraction de minerai (Kjeld)
Radi_SK_Quest32	|Extraction de minerai (Pavo Attius)
Radi_SK_Quest33	|Extraction de minerai (Perth)
Radi_SK_Quest34	|Extraction de minerai (Shuftharz)
Radi_SK_Quest35	|Extraction de minerai (Skaggi)
Radi_SK_Quest36	|Extraction de minerai (Thorgar)
Radi_SK_Quest37	|Extraction de minerai (Verner)
Radi_SK_Quest38	|Bagarre (Chef Burguk)
Radi_SK_Quest39	|Bagarre (Chef Larak)
Radi_SK_Quest40	|Bagarre (Chef Mauhulakh)
----------------------------------------------------------------------------
Clockwork_Quest00	|Au pied de la montagne
Clockwork_Quest01	|Une ombre sous la montagne
Clockwork_Quest02	|À vapeur
Clockwork_Quest03	|Coeur de cristal
Clockwork_Quest04	|Je contre Moi
Clockwork_Quest05	|Un lit de poussière
Clockwork_Quest06	|Enchantement de bâton
----------------------------------------------------------------------------
Falskaar_Quest00	|Un ancien portail
Falskaar_Quest01	|Bienvenue à Falskaar
Falskaar_Quest02	|Une horde cupide
Falskaar_Quest03	|Avertir Valfred
Falskaar_Quest04	|Force et sagesse
Falskaar_Quest05	|Savoir perdu
Falskaar_Quest06	|Fort Urokk
Falskaar_Quest07	|Retour de bâton
Falskaar_Quest08	|Le Coeur des Dieux
Falskaar_Quest09	|L'artisan et son chef-d'oeuvre
Falskaar_Quest10	|Trouvé par hasard
Falskaar_Quest11	|Un cadeau du passé
Falskaar_Quest12	|Une baie des plus spéciales
Falskaar_Quest13	|Liens du sang
Falskaar_Quest14	|De vieux amis
Falskaar_Quest15	|Retour à la maison
Falskaar_Quest16	|Eaux troubles
Falskaar_Quest17	|Les chants des morts
Falskaar_Quest18	|Écraser l'Écraseur
Falskaar_Quest19	|Les profondeurs oubliées
Falskaar_Quest20	|La Dame du phare
Falskaar_Quest21	|Aura maléfique
Falskaar_Quest22	|Les rêves d'Oblivion
Falskaar_Quest23	|Pas vu, pas pris
Falskaar_Quest24	|Bétail perturbé
Falskaar_Quest25	|La pêche au gros
----------------------------------------------------------------------------
HelgenReborn_Quest00	|Renaissance d'Helgen
HelgenReborn_Quest01	|Moments de désespoir
HelgenReborn_Quest02	|Molon Labe
HelgenReborn_Quest03	|Une ville sur une colline
HelgenReborn_Quest04	|Plaies amères
HelgenReborn_Quest05	|Terre de Cienne
HelgenReborn_Quest06	|Retour à la maison
HelgenReborn_Quest07	|Relève de la garde - Wanan-Dun
HelgenReborn_Quest08	|Relève de la garde - Joto
HelgenReborn_Quest09	|Relève de la garde - Herd
HelgenReborn_Quest10	|Relève de la garde - Orianthi
HelgenReborn_Quest11	|Relève de la garde - Sorian
HelgenReborn_Quest12	|Relève de la garde - Kindrick
HelgenReborn_Quest13	|Relève de la garde - Toralf
HelgenReborn_Quest14	|Relève de la garde - Savard
HelgenReborn_Quest15	|Relève de la garde - Herd
HelgenReborn_Quest16	|Relève de la garde - Kar
HelgenReborn_Quest17	|Relève de la garde - Viggun
HelgenReborn_Quest18	|Relève de la garde - Alof
HelgenReborn_Quest19	|Relève de la garde - Surus
HelgenReborn_Quest20	|Relève de la garde - Cidius
HelgenReborn_Quest21	|Relève de la garde - Herd
HelgenReborn_Quest22	|Relève de la garde - Josslin
HelgenReborn_Quest23	|Relève de la garde - Ciel
HelgenReborn_Quest24	|Relève de la garde - Miles
----------------------------------------------------------------------------
Moonpath_Quest00	|Par la lumière de la lune
Moonpath_Quest01	|Le goût sucré d'Elsweyr
Moonpath_Quest02	|Incursion
Moonpath_Quest03	|Reconstruire le passé
Moonpath_Quest04	|Le présent d'un ami
Moonpath_Quest05	|Un invité au dîner
Moonpath_Quest06	|Le style du désert
----------------------------------------------------------------------------
MoonAndStar_Quest00	|Moon And Star
MoonAndStar_Quest01	|Puisqu'un chien ne suffit pas
MoonAndStar_Quest02	|Une faveur pour Bal-Ran
MoonAndStar_Quest03	|Une faveur pour Belvadyr
MoonAndStar_Quest04	|Une faveur pour Selyse
MoonAndStar_Quest05	|Une faveur pour Toren
----------------------------------------------------------------------------
ProjectAHO_Quest00	|Mauvais endroit, mauvais moment
ProjectAHO_Quest01	|Un voisin problématique
ProjectAHO_Quest02	|Pas de cadavre, pas d'affaire
ProjectAHO_Quest03	|Une boisson d'érudit
ProjectAHO_Quest04	|L'héritage d'une race éteinte
ProjectAHO_Quest05	|Liberté de choix
ProjectAHO_Quest06	|Fissure et gazouillis
ProjectAHO_Quest07	|Un parfum de nostalgie
ProjectAHO_Quest08	|La bague de la dame
ProjectAHO_Quest09	|Le poids du passé
ProjectAHO_Quest10	|L'Orsimer de la Maison Telvanni
ProjectAHO_Quest11	|L'héritage des Ancêtres
ProjectAHO_Quest12	|Signes d'attention
ProjectAHO_Quest13	|Un art oublié
ProjectAHO_Quest14	|Danger dans l'ombre
ProjectAHO_Quest15	|L'ombre du passé
----------------------------------------------------------------------------
TeldrynSerious_Quest00	|Enquêtez sur la scène
TeldrynSerious_Quest01	|Question de confiance
TeldrynSerious_Quest02	|Mémoires d'un réfugié
----------------------------------------------------------------------------
WheelsOfLull_Quest00	|Dans les profondeurs
WheelsOfLull_Quest01	|L'espion qui venait du ciel
WheelsOfLull_Quest02	|Le Mer du Haut Château
WheelsOfLull_Quest03	|La Fonderie bouillante
WheelsOfLull_Quest04	|La Forêt d'airain
WheelsOfLull_Quest05	|Au fin fond du monde
WheelsOfLull_Quest06	|Les roues de Lull
WheelsOfLull_Quest07	|Remise en route
WheelsOfLull_Quest08	|De l'eau sous les ponts
WheelsOfLull_Quest09	|Maintenance
WheelsOfLull_Quest10	|Les charades du Charron
WheelsOfLull_Quest11	|Fermeture des ports
WheelsOfLull_Quest12	|Sous pression
----------------------------------------------------------------------------
GrayCowl_Quest00	|L'appel du Capuchon gris de Nocturne
GrayCowl_Quest01	|La récompense d'Havreglace
GrayCowl_Quest02	|Le temps des adieux
GrayCowl_Quest03	|Souvenirs des Umbranox
GrayCowl_Quest04	|La malédiction de Sadraaka
GrayCowl_Quest05	|Enterrez Valen Dreth
GrayCowl_Quest06	|Peaux de loup du désert
GrayCowl_Quest07	|Fioles de sang d'éventreur des dunes
GrayCowl_Quest08	|Je veux récupérer mon amulette !
GrayCowl_Quest09	|Noyaux d'énergie prétoriens
----------------------------------------------------------------------------
Undeath_Quest00	|Dans leurs pas
Undeath_Quest01	|Exhumer la Puissance
Undeath_Quest02	|Arkay, l'Ennemi
Undeath_Quest03	|Alchimie infernale
Undeath_Quest04	|Tertre du Fléau
Undeath_Quest05	|Livre noir - Les Murmures du Voile
Undeath_Quest06	|Le chemin de la Transcendance
----------------------------------------------------------------------------
Wyrmstooth_Quest00	|Vouivrecroc
Wyrmstooth_Quest01	|Le Tertre de la Vouivre
Wyrmstooth_Quest02	|Un animal à tuer
Wyrmstooth_Quest03	|Un bandit à tuer
Wyrmstooth_Quest04	|Prime : Vampire
Wyrmstooth_Quest05	|Un sorcier à tuer
Wyrmstooth_Quest06	|Entre chien et loup
Wyrmstooth_Quest07	|Une richesse inestimable
Wyrmstooth_Quest08	|Retrouver le passé
Wyrmstooth_Quest09	|Paiement de dette
Wyrmstooth_Quest10	|Récupérer Brisebraise
Wyrmstooth_Quest11	|Détroussement
Wyrmstooth_Quest12	|De vieux os
Wyrmstooth_Quest13	|Des invités indésirables
Wyrmstooth_Quest14	|Lever le voile
Wyrmstooth_Quest15	|La cachette du Voleur aveugle
Wyrmstooth_Quest16	|Rabat-joie
----------------------------------------------------------------------------
TBOO_Quest00	|Renaissance
TBOO_Quest01	|Souvenirs oubliés
TBOO_Quest02	|Ce qu'il reste
TBOO_Quest03	|L'Enfant des Ténèbres
TBOO_Quest04	|Premiers pas
TBOO_Quest05	|À pas de loup (Manquable)
TBOO_Quest06	|Le duo sinistre
TBOO_Quest07	|Un écho envoûtant
TBOO_Quest08	|Le goût du sang
TBOO_Quest09	|Une sorcière à Blancherive
TBOO_Quest10	|Petits meurtres en famille
TBOO_Quest11	|Un Orque entre dans un bar
TBOO_Quest12	|Une bouffée d'air frais
TBOO_Quest13	|Rivalité fraternelle
TBOO_Quest14	|Les cultes des ténèbres
TBOO_Quest15	|Deux âmes, une destinée
TBOO_Quest16	|La véritable Confrérie
TBOO_Quest17	|Les ordres de mort
TBOO_Quest18	|Ordre de mort 2 : Le collecteur de dettes
TBOO_Quest19	|Ordre de mort 3 : L'influent
TBOO_Quest20	|Ordre de mort 4 : L'enquêteur
TBOO_Quest21	|Ordre de mort 5 : La Thalmor
TBOO_Quest22	|Ordre de mort 6 : Le partenaire
TBOO_Quest23	|Ordre de mort 7 : Le messager
TBOO_Quest24	|Une petite faveur
----------------------------------------------------------------------------
LOTD_Main_Quest00_V			|Une perspective intéressante
LOTD_Main_Quest01_V			|Galerie de l'Enfant de Dragon
LOTD_Main_Quest02_V			|Akaviri Rising
LOTD_Main_Quest03_V			|Une perspective intéressante
LOTD_Main_Quest04_V			|Galerie de l'Enfant de Dragon
LOTD_Main_Quest05_V			|Une nuit au Musée
LOTD_Main_Quest06_V			|L'ombre du passé
LOTD_Main_Quest07_V			|L'Héritage brisé
LOTD_Main_Quest08_V			|La Croisée ayléide
LOTD_Main_Quest09_V			|Sa place est dans un musée
LOTD_Main_Quest10_V			|Les caveaux de Tréfonde
LOTD_Main_Quest11_V			|Qui trouve, garde
LOTD_Main_Quest12_V			|Projet de recherche
----------------------------------------------------------------------------
LOTD_Main_Quest00_N			|Une perspective intéressante
LOTD_Main_Quest01_N			|Galerie de l'Enfant de Dragon
LOTD_Main_Quest02_N			|Akaviri Rising
LOTD_Main_Quest03_N			|Une perspective intéressante
LOTD_Main_Quest04_N			|Galerie de l'Enfant de Dragon
LOTD_Main_Quest05_N			|Une nuit au Musée
LOTD_Main_Quest06_N			|L'ombre du passé
LOTD_Main_Quest07_N			|L'Héritage brisé
LOTD_Main_Quest08_N			|La Croisée ayléide
LOTD_Main_Quest09_N			|Sa place est dans un musée
LOTD_Main_Quest10_N			|Les caveaux de Tréfonde
LOTD_Main_Quest11_N			|Qui trouve, garde
LOTD_Main_Quest12_N			|Projet de recherche
----------------------------------------------------------------------------
LOTD_Main_Quest00_E			|Une perspective intéressante
LOTD_Main_Quest01_E			|Galerie de l'Enfant de Dragon
LOTD_Main_Quest02_E			|Akaviri Rising
LOTD_Main_Quest03_E			|Une perspective intéressante
LOTD_Main_Quest04_E			|Galerie de l'Enfant de Dragon
LOTD_Main_Quest05_E			|Une nuit au Musée
LOTD_Main_Quest06_E			|L'ombre du passé
LOTD_Main_Quest07_E			|L'Héritage brisé
LOTD_Main_Quest08_E			|La Croisée ayléide
LOTD_Main_Quest09_E			|Sa place est dans un musée
LOTD_Main_Quest10_E			|Les caveaux de Tréfonde
LOTD_Main_Quest11_E			|Qui trouve, garde
LOTD_Main_Quest12_E			|Projet de recherche
----------------------------------------------------------------------------
LOTD_Exp_Quest00_V			|Chambre avec vue
LOTD_Exp_Quest01_V			|Réunir les Explorateurs
LOTD_Exp_Quest02_V			|Les fouilles du col de Parlevent
LOTD_Exp_Quest03_V			|Les fouilles des ruines de Rkund
LOTD_Exp_Quest04_V			|Le Visage
LOTD_Exp_Quest05_V			|L'épreuve de Trinimac
LOTD_Exp_Quest06_V			|Glace éternelle
LOTD_Exp_Quest07_V			|Le chemin des cieux
LOTD_Exp_Quest08_V			|Le livre des merveilles
LOTD_Exp_Quest09_V			|Outils de travail
LOTD_Exp_Quest10_V			|Ramifications
LOTD_Exp_Quest11_V			|Ramifications... suite
LOTD_Exp_Quest12_V			|Ramifications... plus que jamais
LOTD_Exp_Quest13_V			|Camelote
LOTD_Exp_Quest14_V			|Chasse aux reliques
----------------------------------------------------------------------------
LOTD_Exp_Quest00_N			|Chambre avec vue
LOTD_Exp_Quest01_N			|Réunir les Explorateurs
LOTD_Exp_Quest02_N			|Les fouilles du col de Parlevent
LOTD_Exp_Quest03_N			|Les fouilles des ruines de Rkund
LOTD_Exp_Quest04_N			|Le Visage
LOTD_Exp_Quest05_N			|L'épreuve de Trinimac
LOTD_Exp_Quest06_N			|Glace éternelle
LOTD_Exp_Quest07_N			|Le chemin des cieux
LOTD_Exp_Quest08_N			|Le livre des merveilles
LOTD_Exp_Quest09_N			|Outils de travail
LOTD_Exp_Quest10_N			|Ramifications
LOTD_Exp_Quest11_N			|Ramifications... suite
LOTD_Exp_Quest12_N			|Ramifications... plus que jamais
LOTD_Exp_Quest13_N			|Camelote
LOTD_Exp_Quest14_N			|Chasse aux reliques
----------------------------------------------------------------------------
LOTD_Exp_Quest00_E			|Chambre avec vue
LOTD_Exp_Quest01_E			|Réunir les Explorateurs
LOTD_Exp_Quest02_E			|Les fouilles du col de Parlevent
LOTD_Exp_Quest03_E			|Les fouilles des ruines de Rkund
LOTD_Exp_Quest04_E			|Le Visage
LOTD_Exp_Quest05_E			|L'épreuve de Trinimac
LOTD_Exp_Quest06_E			|Glace éternelle
LOTD_Exp_Quest07_E			|Le chemin des cieux
LOTD_Exp_Quest08_E			|Le livre des merveilles
LOTD_Exp_Quest09_E			|Outils de travail
LOTD_Exp_Quest10_E			|Ramifications
LOTD_Exp_Quest11_E			|Ramifications... suite
LOTD_Exp_Quest12_E			|Ramifications... plus que jamais
LOTD_Exp_Quest13_E			|Camelote
LOTD_Exp_Quest14_E			|Chasse aux reliques
----------------------------------------------------------------------------
LOTD_Journals_Quest00	|Journal de Sanamia - Mzulft
LOTD_Journals_Quest01	|Journal de Sanamia - Valthume
LOTD_Journals_Quest02	|Journal de Sanamia - Fort Molène
LOTD_Journals_Quest03	|Journal de Sanamia - Lac Ilinalta
LOTD_Journals_Quest04	|Journal de Sanamia - Ruines funéraires
LOTD_Journals_Quest05	|Journal de Sanamia - La cachette du fantôme
----------------------------------------------------------------------------
LOTD_Notes_Quest00	|Notes d'Auryen : la dague de Symmachus
LOTD_Notes_Quest01	|Notes d'Auryen : le sabre de Cyrus
LOTD_Notes_Quest02	|Notes d'Auryen : le coffret du roi Orgnum
LOTD_Notes_Quest03	|Notes d'Auryen : Lame glacée du Monarque
LOTD_Notes_Quest04	|Notes d'Auryen : la Pierre de Shalidor
LOTD_Notes_Quest05	|Notes d'Auryen : le Heaume de Verdesang
LOTD_Notes_Quest06	|Notes d'Auryen : l'Anneau du Sorcier
LOTD_Notes_Quest07	|Notes d'Auryen : la Cuirasse du Dragon
LOTD_Notes_Quest08	|Notes d'Auryen : les Poings de Randagulf
LOTD_Notes_Quest09	|Notes d'Auryen : les Outils de Kagrénac
--------------------------------------------------------------------------------------------------------
LOTD_Misc_Quest00	|La Chambre des secrets
LOTD_Misc_Quest01	|Beaucoup de bruit pour les Elfes des neiges
LOTD_Misc_Quest02	|La Main de la gloire
LOTD_Misc_Quest03	|Conjurer le sort
LOTD_Misc_Quest04	|Brisetonneau d'Ongar
LOTD_Misc_Quest05	|Retour à la planche à dessin
LOTD_Misc_Quest06	|Armure du Seigneur
LOTD_Misc_Quest07	|Les Gardiens du divin
----------------------------------------------------------------------------
3DNPC_Main_Quest00	|Une dette de sang
3DNPC_Main_Quest01	|Une rose sans épine
3DNPC_Main_Quest02	|Comme vous l'aimez
3DNPC_Main_Quest03	|Bardes, bêtes et beautés
3DNPC_Main_Quest04	|Qui se ressemble...
3DNPC_Main_Quest05	|Frère et gardien
3DNPC_Main_Quest06	|Tradition oubliée
3DNPC_Main_Quest07	|L'appel de l'honneur
3DNPC_Main_Quest08	|Rêves vains
3DNPC_Main_Quest09	|La Fosse aux chiens
3DNPC_Main_Quest10	|Propriété volée
3DNPC_Main_Quest11	|Le prisonnier aldmeri
3DNPC_Main_Quest12	|La Belle Enfant
3DNPC_Main_Quest13	|Le vent de la culpabilité
3DNPC_Main_Quest14	|L'enveloppe immortelle
3DNPC_Main_Quest15	|Le plus bruyant des chuchotements
3DNPC_Main_Quest16	|Les Ténèbres radieuses
3DNPC_Main_Quest17	|Le Corbeau d'Anvil
3DNPC_Main_Quest18	|Le Géant endormi
3DNPC_Main_Quest19	|La machine de téléportation
3DNPC_Main_Quest20	|La voie des Neuf
3DNPC_Main_Quest21	|Le chemin vers le coeur d'un gros balourd
3DNPC_Main_Quest22	|Vers les sables chauds
3DNPC_Main_Quest23	|Vigilance et vertu
----------------------------------------------------------------------------
3DNPC_BOK_Quest00	|Du sang des rois
3DNPC_BOK_Quest01	|Visages et noms
3DNPC_BOK_Quest02	|Le Forgeron de sang
3DNPC_BOK_Quest03	|Notre héraut à tous
3DNPC_BOK_Quest04	|Sang et os
3DNPC_BOK_Quest05	|La bête qui ne peut pas être tuée
3DNPC_BOK_Quest06	|Une fin à retenir
----------------------------------------------------------------------------
3DNPC_DS_Quest00	|Sombre acier
3DNPC_DS_Quest01	|Un Daedra dans la nuit
3DNPC_DS_Quest02	|Le chat et la souris
3DNPC_DS_Quest03	|Croquemort
3DNPC_DS_Quest04	|Pavé d'ossements
3DNPC_DS_Quest05	|Le visage du Fantôme
----------------------------------------------------------------------------
3DNPC_Misc_Quest00	|La femme du crabier
3DNPC_Misc_Quest01	|Un sort pour Rumarin
3DNPC_Misc_Quest02	|Un millier de mots
3DNPC_Misc_Quest03	|Art et sacrifice
3DNPC_Misc_Quest04	|L'or d'Azzarian
3DNPC_Misc_Quest05	|Mordre la main qui nourrit
3DNPC_Misc_Quest06	|Robe noire
3DNPC_Misc_Quest07	|Enfant de la poussière
3DNPC_Misc_Quest08	|Coincé
3DNPC_Misc_Quest09	|La proie du chasseur
3DNPC_Misc_Quest10	|Hydromel de Mogo
3DNPC_Misc_Quest11	|Hydromel de Mogo
3DNPC_Misc_Quest12	|Refuge du Voleur
3DNPC_Misc_Quest13	|Épelez-le-moi
3DNPC_Misc_Quest14	|Sur mesure
3DNPC_Misc_Quest15	|La sculptrice et le collectionneur
3DNPC_Misc_Quest16	|La conspiration des marches
3DNPC_Misc_Quest17	|La malédiction
3DNPC_Misc_Quest18	|L'épée elfique
3DNPC_Misc_Quest19	|La maison sur la colline
3DNPC_Misc_Quest20	|La loi gagne toujours
3DNPC_Misc_Quest21	|Le buveur de lait
3DNPC_Misc_Quest22	|Le Miroir de papier
3DNPC_Misc_Quest23	|Mordu-trois-fois, le timide
3DNPC_Misc_Quest24	|Transformation
----------------------------------------------------------------------------
Vigilant_Main_Quest00	|Acte I : Vigile de Stendarr
Vigilant_Main_Quest01	|Acte I : Suceur de sang
Vigilant_Main_Quest02	|Acte I : L'Intouchable
Vigilant_Main_Quest03	|Acte I : Un après-midi tranquille
Vigilant_Main_Quest04	|Acte I : L'Oeil de la Folie
Vigilant_Main_Quest05	|Acte I : Partir sans payer
Vigilant_Main_Quest06	|Acte I : Ainsi parlait le Khajiit
Vigilant_Main_Quest07	|Acte I : Le vieux paladin
Vigilant_Main_Quest08	|Acte I : Pas de quartier
Vigilant_Main_Quest09	|Acte I : L'art de la compassion
Vigilant_Main_Quest10	|Acte I : La chute sans fin
Vigilant_Main_Quest11	|Acte I : Atterrissage
Vigilant_Main_Quest12	|Acte I : Les sorcières de Fort-Ivar
Vigilant_Main_Quest13	|Acte II : Cellules vides
Vigilant_Main_Quest14	|Acte II : Le naufrage
Vigilant_Main_Quest15	|Acte II : La Matrone du Sang
Vigilant_Main_Quest16	|Acte III : Enfant d'Oblivion
Vigilant_Main_Quest17	|Acte IV : Havreglace
Vigilant_Main_Quest18	|Acte IV : Havreglace
Vigilant_Main_Quest19	|Acte IV : Havreglace
Vigilant_Main_Quest20	|Acte IV : Un million de chats
Vigilant_Main_Quest21	|Acte IV : Le Saint Anatomancien
----------------------------------------------------------------------------
Vigilant_Side_Quest00	|L'archer de Kyne
Vigilant_Side_Quest01	|Le Ver noir
Vigilant_Side_Quest02	|Funérailles
Vigilant_Side_Quest03	|Plus de skooma
Vigilant_Side_Quest04	|Paladin Melus
Vigilant_Side_Quest05	|Chevalier d'Arkay
Vigilant_Side_Quest06	|Chevalier de Zénithar
Vigilant_Side_Quest07	|Chevalier de Julianos
Vigilant_Side_Quest08	|Chevalier de Kynareth
Vigilant_Side_Quest09	|Folie
Vigilant_Side_Quest10	|Le Vengeur
Vigilant_Side_Quest11	|Le dragon de Kyne
Vigilant_Side_Quest12	|La Marche grise
----------------------------------------------------------------------------
Vigilant_Memory_Quest00	|Le Chevalier des Chiens
Vigilant_Memory_Quest01	|Johan l'Idiot
Vigilant_Memory_Quest02	|Pélinal le Sanglant
Vigilant_Memory_Quest03	|Le Grand Inquisiteur
Vigilant_Memory_Quest04	|Le Roi fou
Vigilant_Memory_Quest05	|Ada Bal
Vigilant_Memory_Quest06	|Après la tempête
Vigilant_Memory_Quest07	|La dernière nuit
Vigilant_Memory_Quest08	|Les vestiges du Miracle
Vigilant_Memory_Quest09	|La tentation de Marukh
Vigilant_Memory_Quest10	|Le Barde sans nom
Vigilant_Memory_Quest11	|De l'au-delà
----------------------------------------------------------------------------
Vigilant_Radiant_Quest00	|Prime : Livre
Vigilant_Radiant_Quest01	|Prime : Vendeur-de-poussins
Vigilant_Radiant_Quest02	|Prime : Relique daedrique
Vigilant_Radiant_Quest03	|Prime : Corne
Vigilant_Radiant_Quest04	|Prime : Joueur de corne
Vigilant_Radiant_Quest05	|Prime : Conjureur
Vigilant_Radiant_Quest06	|Un vampire à tuer
Vigilant_Radiant_Quest07	|Un sorcière à tuer
Vigilant_Radiant_Quest08	|Éclat : Rêveur
Vigilant_Radiant_Quest09	|Éclat : Sosie
Vigilant_Radiant_Quest10	|Éclat : Engeance
Vigilant_Radiant_Quest11	|Éclat : Suceur de sang
Vigilant_Radiant_Quest12	|Éclat : Chasseur de sorcières
----------------------------------------------------------------------------
